HashMap: 2960 ms;	ConcurrentHashMap: 439 ms;
HashMap: 2635 ms;	ConcurrentHashMap: 489 ms;
HashMap: 2150 ms;	ConcurrentHashMap: 385 ms;
HashMap: 2386 ms;	ConcurrentHashMap: 362 ms;
HashMap: 2243 ms;	ConcurrentHashMap: 366 ms;
HashMap: 2067 ms;	ConcurrentHashMap: 363 ms;
HashMap: 2006 ms;	ConcurrentHashMap: 359 ms;
HashMap: 2101 ms;	ConcurrentHashMap: 333 ms;
HashMap: 1866 ms;	ConcurrentHashMap: 313 ms;
HashMap: 2136 ms;	ConcurrentHashMap: 300 ms;
HashMap: 1939 ms;	ConcurrentHashMap: 338 ms;
HashMap: 2186 ms;	ConcurrentHashMap: 288 ms;
HashMap: 1985 ms;	ConcurrentHashMap: 299 ms;
HashMap: 1853 ms;	ConcurrentHashMap: 321 ms;
HashMap: 2196 ms;	ConcurrentHashMap: 320 ms;
HashMap: 1947 ms;	ConcurrentHashMap: 318 ms;
HashMap: 2092 ms;	ConcurrentHashMap: 330 ms;
HashMap: 2127 ms;	ConcurrentHashMap: 396 ms;
HashMap: 1839 ms;	ConcurrentHashMap: 307 ms;
HashMap: 1905 ms;	ConcurrentHashMap: 307 ms;
HashMap: 2035 ms;	ConcurrentHashMap: 313 ms;
HashMap: 2068 ms;	ConcurrentHashMap: 333 ms;
HashMap: 2085 ms;	ConcurrentHashMap: 345 ms;
HashMap: 2164 ms;	ConcurrentHashMap: 391 ms;
HashMap: 1969 ms;	ConcurrentHashMap: 365 ms;
HashMap: 2091 ms;	ConcurrentHashMap: 285 ms;
HashMap: 2120 ms;	ConcurrentHashMap: 284 ms;
HashMap: 2035 ms;	ConcurrentHashMap: 295 ms;
HashMap: 2074 ms;	ConcurrentHashMap: 347 ms;
HashMap: 1863 ms;	ConcurrentHashMap: 318 ms;
HashMap: 1930 ms;	ConcurrentHashMap: 309 ms;
HashMap: 2052 ms;	ConcurrentHashMap: 323 ms;
HashMap: 1990 ms;	ConcurrentHashMap: 303 ms;
HashMap: 1922 ms;	ConcurrentHashMap: 298 ms;
HashMap: 2089 ms;	ConcurrentHashMap: 322 ms;
HashMap: 2101 ms;	ConcurrentHashMap: 329 ms;
HashMap: 2117 ms;	ConcurrentHashMap: 372 ms;
HashMap: 2146 ms;	ConcurrentHashMap: 324 ms;
HashMap: 1936 ms;	ConcurrentHashMap: 330 ms;
HashMap: 2115 ms;	ConcurrentHashMap: 337 ms;
HashMap: 1907 ms;	ConcurrentHashMap: 320 ms;
HashMap: 2123 ms;	ConcurrentHashMap: 380 ms;
HashMap: 2100 ms;	ConcurrentHashMap: 308 ms;
HashMap: 1904 ms;	ConcurrentHashMap: 278 ms;
HashMap: 1971 ms;	ConcurrentHashMap: 334 ms;
HashMap: 1883 ms;	ConcurrentHashMap: 313 ms;
HashMap: 2154 ms;	ConcurrentHashMap: 367 ms;
HashMap: 1916 ms;	ConcurrentHashMap: 381 ms;
HashMap: 1896 ms;	ConcurrentHashMap: 342 ms;
HashMap: 2089 ms;	ConcurrentHashMap: 315 ms;
HashMap: 2144 ms;	ConcurrentHashMap: 344 ms;
HashMap: 1844 ms;	ConcurrentHashMap: 338 ms;
HashMap: 2115 ms;	ConcurrentHashMap: 342 ms;
HashMap: 2119 ms;	ConcurrentHashMap: 324 ms;
HashMap: 2100 ms;	ConcurrentHashMap: 367 ms;
HashMap: 1939 ms;	ConcurrentHashMap: 337 ms;
HashMap: 1946 ms;	ConcurrentHashMap: 311 ms;
HashMap: 1978 ms;	ConcurrentHashMap: 329 ms;
HashMap: 1891 ms;	ConcurrentHashMap: 336 ms;
HashMap: 1878 ms;	ConcurrentHashMap: 350 ms;
HashMap: 2156 ms;	ConcurrentHashMap: 392 ms;
HashMap: 2137 ms;	ConcurrentHashMap: 296 ms;
HashMap: 2169 ms;	ConcurrentHashMap: 312 ms;
HashMap: 2195 ms;	ConcurrentHashMap: 325 ms;
HashMap: 2067 ms;	ConcurrentHashMap: 337 ms;
HashMap: 2043 ms;	ConcurrentHashMap: 362 ms;
HashMap: 2161 ms;	ConcurrentHashMap: 367 ms;
HashMap: 2192 ms;	ConcurrentHashMap: 314 ms;
HashMap: 2250 ms;	ConcurrentHashMap: 294 ms;
HashMap: 2020 ms;	ConcurrentHashMap: 292 ms;
HashMap: 2077 ms;	ConcurrentHashMap: 341 ms;
HashMap: 2117 ms;	ConcurrentHashMap: 309 ms;
HashMap: 2150 ms;	ConcurrentHashMap: 345 ms;
HashMap: 1950 ms;	ConcurrentHashMap: 331 ms;
HashMap: 2114 ms;	ConcurrentHashMap: 274 ms;
HashMap: 2056 ms;	ConcurrentHashMap: 325 ms;
